Citizenship,Stream,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
United States of America,Family,1456,1268,1134,1314,1552,1893,1768,1956,1802,1775,1895,1860,1895,2011,1794,1896
Unknown,Family,32,13,17,493,81,-2,-79,-164,-141,67,9,40,110,4,9,9
Uruguay,Family,33,19,23,20,42,24,41,43,42,40,22,23,23,17,17,19
Uzbekistan,Family,22,9,11,10,15,27,14,22,32,28,39,46,33,36,37,39
Vanuatu,Family,14,8,6,12,18,14,13,17,13,24,21,26,9,30,27,19
Venezuela,Family,23,12,16,21,19,23,32,40,30,15,20,31,42,36,33,57
Vietnam,Family,1887,1928,2415,1810,1787,2147,2667,2119,1868,2307,3040,2365,2723,3273,3323,3685
West Bank,Family,7,12,3,0,0,1,0,1,1,0,1,0,0,0,0,0
Yemen,Family,0,3,5,5,3,3,1,1,9,5,7,3,8,0,8,7
"Yugoslavia, Fed Republic of",Family,406,308,307,278,231,330,309,178,67,45,28,23,45,18,5,4
Zambia,Family,13,2,4,0,4,6,7,9,23,14,27,31,13,31,42,41
Zimbabwe,Family,49,30,51,42,76,72,59,121,84,107,108,126,150,192,171,169
(blank),Skill,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Afghanistan,Skill,0,0,2,7,0,0,6,0,5,0,0,4,14,2,14,25
Africa (so stated),Skill,1,9,36,4,0,0,0,0,0,3,1,4,2,0,0,0
Albania,Skill,0,7,3,4,8,4,137,3,10,28,27,19,35,45,38,44
Algeria,Skill,13,5,5,8,2,1,2,3,1,3,3,2,1,4,5,0
"America, Central (so stated)",Skill,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
American Samoa,Skill,0,0,0,0,0,2,0,0,1,4,0,0,0,0,1,1
Andorra,Skill,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Angola,Skill,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,Skill,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Argentina,Skill,63,14,33,30,34,53,117,357,232,185,98,101,106,122,74,161
Armenia,Skill,21,12,13,8,13,7,20,8,1,1,9,2,28,1,4,29
Aust. Ext. Terr. (so stated),Skill,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Austria,Skill,40,41,61,50,56,51,83,66,58,67,88,77,92,92,62,102
Azerbaijan,Skill,0,5,2,4,3,4,2,19,5,8,3,11,5,5,8,28
Bahamas,Skill,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Bahrain,Skill,4,1,6,0,0,5,-1,1,4,4,7,4,5,3,4,12
Bangladesh,Skill,387,184,196,179,164,515,546,902,1074,1392,1920,2260,1552,1558,1620,2005
Barbados,Skill,0,0,0,0,1,0,1,3,1,0,1,0,1,0,5,0
Belarus,Skill,27,13,21,9,14,11,29,22,23,36,15,21,38,21,33,26
Belgium,Skill,51,48,54,54,71,78,90,54,63,85,82,91,99,116,111,132
Belize,Skill,3,5,2,3,6,0,0,0,1,0,5,1,0,0,0,1
Benin,Skill,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3
Bermuda,Skill,0,1,1,0,6,3,0,0,0,0,0,0,3,0,0,0
Bhutan,Skill,0,4,4,0,0,0,0,0,0,1,2,0,4,0,6,3
Bolivia,Skill,4,2,4,0,1,1,1,5,6,1,12,6,8,14,17,11
